Player,Has Receiving Yards,Points,Has Reception Count
Travis Kelce,TRUE,155.3,TRUE
Mark Andrews,TRUE,142.3,TRUE
Kyle Pitts,TRUE,124.3,TRUE
Darren Waller,TRUE,120.8,TRUE
George Kittle,TRUE,115.8,TRUE
Dalton Schultz,TRUE,109.8,TRUE
T.J. Hockenson,TRUE,105.3,TRUE
Dallas Goedert,TRUE,100.8,TRUE
Zach Ertz,TRUE,95.3,TRUE
Mike Gesicki,TRUE,90.8,TRUE
Dawson Knox,TRUE,81.3,TRUE
